id,Number,Adjacency,Adjacency,Adjacency,Adjacency,Adjacency,Adjacency,Adjacency,Adjacency,Adjacency,Adjacency
AT,1,26,23,14,12,22,5,10,,,
BE,2,9,10,17,13,,,,,,
BG,3,11,21,,,,,,,,
HR,4,23,12,,,,,,,,
CZ,5,10,1,22,19,,,,,,
DK,6,10,18,25,17,13,,,,,
EE,7,15,8,,,,,,,,
FI,8,7,25,18,,,,,,,
FR,9,24,14,26,10,2,13,,,,
DE,10,17,2,9,26,1,5,19,6,18,25
GR,11,3,14,,,,,,,,
HU,12,1,23,4,21,22,,,,,
IE,13,9,2,6,18,17,,,,,
IT,14,9,26,1,23,11,,,,,
LV,15,7,16,,,,,,,,
LT,16,19,15,25,,,,,,,
NL,17,2,10,18,6,13,,,,,
NO,18,25,8,17,13,6,10,,,,
PL,19,10,5,22,16,25,,,,,
PT,20,24,,,,,,,,,
RO,21,3,12,,,,,,,,
SK,22,19,5,1,12,,,,,,
SI,23,1,14,4,12,,,,,,
ES,24,20,9,,,,,,,,
SE,25,18,6,19,16,8,10,,,,
CH,26,9,14,1,10,,,,,,
